feature,importance
FLAG_DOCUMENT_21,0
HAS_CREDIT_CARD_HISTORY,0
EMERGENCYSTATE_MODE,0
FLAG_DOCUMENT_20,0
FLAG_DOCUMENT_19,0
FLAG_DOCUMENT_17,0
LIVE_REGION_NOT_WORK_REGION,0
FLAG_DOCUMENT_12,0
FLAG_DOCUMENT_10,0
FLAG_DOCUMENT_9,0
FLAG_DOCUMENT_7,0
CC_RECENT_BALANCE_USED_MONTH_RATE,0
FLAG_DOCUMENT_4,0
FLAG_DOCUMENT_2,0
REG_REGION_NOT_LIVE_REGION,0
HOUSETYPE_MODE,0
FLAG_CONT_MOBILE,0
CC_ACCOUNT_COUNT,0
CC_RECENT_MAX_DPD_DEF,0
CC_RECENT_AVG_DPD_DEF,0
CC_ACTIVE_ACCOUNT_RATE,0
PREV_CONTRACT_UNKNOWN_COUNT,0
PREV_CONTRACT_UNKNOWN_RATE,0
CC_ACTIVE_ACCOUNT_COUNT,0
CC_MAX_DPD_DEF,0
CC_TOTAL_SEVERE_DPD_MONTH_COUNT,0
CC_TOTAL_DPD_DEF_MONTH_COUNT,0
POS_TOTAL_SEVERE_DPD_DEF_MONTH_COUNT,0
POS_DEMAND_LOAN_COUNT,0
POS_CANCELED_LOAN_COUNT,0
POS_OTHER_STATUS_LOAN_COUNT,0
POS_RECENT_LOAN_COUNT,0
POS_RECENT_SEVERE_DPD_MONTH_COUNT,0
POS_RECENT_SEVERE_DPD_DEF_MONTH_COUNT,0
POS_RECENT_DEMAND_MONTH_COUNT,0
CC_CUSTOMER_HISTORY_SPAN_MONTHS,0
CC_RECENT_ACCOUNT_COUNT,0
BB_MAX_SEVERE_DPD_MONTH_COUNT,0
HOUSETYPE_MODE_MISSING,0
CC_RECENT_MAX_DPD,0
CC_RECENT_AVG_DPD,0
CC_RECENT_SEVERE_DPD_MONTH_COUNT,0
CC_RECENT_DPD_DEF_MONTH_COUNT,0
CC_RECENT_DPD_MONTH_COUNT,0
FONDKAPREMONT_MODE_MISSING,0
POS_RECENT_SEVERE_DPD_DEF_MONTH_RATE,0
BB_TOTAL_SEVERE_DPD_MONTH_COUNT,0
WALLSMATERIAL_MODE_MISSING,0
EMERGENCYSTATE_MODE_MISSING,0
AMT_ANNUITY_MISSING,0
AMT_GOODS_PRICE_MISSING,0
CHILDREN_RATIO,0
BAD_DEBT_COUNT,0
CC_RECENT_UNDER_MIN_PAYMENT_MONTH_COUNT,0
